EllipObject 16640, PlaneEdges 544( V 544, P 0 )
 -> Valid edges : 
   v 0 : 1.41407e-16
   v 1 : 5.11144e-10
   v 2 : 1.86753e-10
   v 3 : 5.99435e-10
   v 4 : 1.41407e-16
   v 5 : 5.11144e-10
   v 6 : 1.86753e-10
   v 7 : 5.99435e-10
   v 8 : 1.41407e-16
   v 9 : 5.11144e-10
   v 10 : 1.86753e-10
   v 11 : 5.99435e-10
   v 12 : 1.41407e-16
   v 13 : 5.11144e-10
   v 14 : 1.86753e-10
   v 15 : 5.99435e-10
   v 16 : 1.41407e-16
   v 17 : 5.11144e-10
   v 18 : 1.86753e-10
   v 19 : 5.99435e-10
   v 20 : 1.41407e-16
   v 21 : 5.11144e-10
   v 22 : 1.86753e-10
   v 23 : 5.99435e-10
   v 24 : 1.41407e-16
   v 25 : 5.11144e-10
   v 26 : 1.86753e-10
   v 27 : 5.99435e-10
   v 28 : 1.41407e-16
   v 29 : 5.11144e-10
   v 30 : 1.86753e-10
   v 31 : 5.99435e-10
   v 32 : 1.41407e-16
   v 33 : 5.11144e-10
   v 34 : 1.86753e-10
   v 35 : 5.99435e-10
   v 36 : 1.41407e-16
   v 37 : 5.11144e-10
   v 38 : 1.86753e-10
   v 39 : 5.99435e-10
   v 40 : 1.41407e-16
   v 41 : 5.11144e-10
   v 42 : 1.86753e-10
   v 43 : 5.99435e-10
   v 44 : 1.41407e-16
   v 45 : 5.11144e-10
   v 46 : 1.86753e-10
   v 47 : 5.99435e-10
   v 48 : 1.41407e-16
   v 49 : 5.11144e-10
   v 50 : 1.86753e-10
   v 51 : 5.99435e-10
   v 52 : 1.41407e-16
   v 53 : 5.11144e-10
   v 54 : 1.86753e-10
   v 55 : 5.99435e-10
   v 56 : 1.41407e-16
   v 57 : 5.11144e-10
   v 58 : 1.86753e-10
   v 59 : 5.99435e-10
   v 60 : 1.41407e-16
   v 61 : 5.11144e-10
   v 62 : 1.86753e-10
   v 63 : 5.99435e-10
   v 64 : 1.41407e-16
   v 65 : 5.11144e-10
   v 66 : 1.86753e-10
   v 67 : 5.99435e-10
   v 68 : 1.41407e-16
   v 69 : 5.11144e-10
   v 70 : 1.86753e-10
   v 71 : 5.99435e-10
   v 72 : 1.41407e-16
   v 73 : 5.11144e-10
   v 74 : 1.86753e-10
   v 75 : 5.99435e-10
   v 76 : 1.41407e-16
   v 77 : 5.11144e-10
   v 78 : 1.86753e-10
   v 79 : 5.99435e-10
   v 80 : 1.41407e-16
   v 81 : 5.11144e-10
   v 82 : 1.86753e-10
   v 83 : 5.99435e-10
   v 84 : 1.41407e-16
   v 85 : 5.11144e-10
   v 86 : 1.86753e-10
   v 87 : 5.99435e-10
   v 88 : 1.41407e-16
   v 89 : 5.11144e-10
   v 90 : 1.86753e-10
   v 91 : 5.99435e-10
   v 92 : 1.41407e-16
   v 93 : 5.11144e-10
   v 94 : 1.86753e-10
   v 95 : 5.99435e-10
   v 96 : 1.41407e-16
   v 97 : 5.11144e-10
   v 98 : 1.86753e-10
   v 99 : 5.99435e-10
   v 100 : 1.41407e-16
   v 101 : 5.11144e-10
   v 102 : 1.86753e-10
   v 103 : 5.99435e-10
   v 104 : 1.41407e-16
   v 105 : 5.11144e-10
   v 106 : 1.86753e-10
   v 107 : 5.99435e-10
   v 108 : 1.41407e-16
   v 109 : 5.11144e-10
   v 110 : 1.86753e-10
   v 111 : 5.99435e-10
   v 112 : 1.41407e-16
   v 113 : 5.11144e-10
   v 114 : 1.86753e-10
   v 115 : 5.99435e-10
   v 116 : 1.41407e-16
   v 117 : 5.11144e-10
   v 118 : 1.86753e-10
   v 119 : 5.99435e-10
   v 120 : 1.41407e-16
   v 121 : 5.11144e-10
   v 122 : 1.86753e-10
   v 123 : 5.99435e-10
   v 124 : 1.41407e-16
   v 125 : 5.11144e-10
   v 126 : 1.86753e-10
   v 127 : 5.99435e-10
   v 128 : 1.41407e-16
   v 129 : 5.11144e-10
   v 130 : 1.86753e-10
   v 131 : 5.99435e-10
   v 132 : 1.41407e-16
   v 133 : 5.11144e-10
   v 134 : 1.86753e-10
   v 135 : 5.99435e-10
   v 136 : 1.41407e-16
   v 137 : 5.11144e-10
   v 138 : 1.86753e-10
   v 139 : 5.99435e-10
   v 140 : 1.41407e-16
   v 141 : 5.11144e-10
   v 142 : 1.86753e-10
   v 143 : 5.99435e-10
   v 144 : 1.41407e-16
   v 145 : 5.11144e-10
   v 146 : 1.86753e-10
   v 147 : 5.99435e-10
   v 148 : 1.41407e-16
   v 149 : 5.11144e-10
   v 150 : 1.86753e-10
   v 151 : 5.99435e-10
   v 152 : 1.41407e-16
   v 153 : 5.11144e-10
   v 154 : 1.86753e-10
   v 155 : 5.99435e-10
   v 156 : 1.41407e-16
   v 157 : 5.11144e-10
   v 158 : 1.86753e-10
   v 159 : 5.99435e-10
   v 160 : 1.41407e-16
   v 161 : 5.11144e-10
   v 162 : 1.86753e-10
   v 163 : 5.99435e-10
   v 164 : 1.41407e-16
   v 165 : 5.11144e-10
   v 166 : 1.86753e-10
   v 167 : 5.99435e-10
   v 168 : 1.41407e-16
   v 169 : 5.11144e-10
   v 170 : 1.86753e-10
   v 171 : 5.99435e-10
   v 172 : 1.41407e-16
   v 173 : 5.11144e-10
   v 174 : 1.86753e-10
   v 175 : 5.99435e-10
   v 176 : 1.41407e-16
   v 177 : 5.11144e-10
   v 178 : 1.86753e-10
   v 179 : 5.99435e-10
   v 180 : 1.41407e-16
   v 181 : 5.11144e-10
   v 182 : 1.86753e-10
   v 183 : 5.99435e-10
   v 184 : 1.41407e-16
   v 185 : 5.11144e-10
   v 186 : 1.86753e-10
   v 187 : 5.99435e-10
   v 188 : 1.41407e-16
   v 189 : 5.11144e-10
   v 190 : 1.86753e-10
   v 191 : 5.99435e-10
   v 192 : 1.41407e-16
   v 193 : 5.11144e-10
   v 194 : 1.86753e-10
   v 195 : 5.99435e-10
   v 196 : 1.41407e-16
   v 197 : 5.11144e-10
   v 198 : 1.86753e-10
   v 199 : 5.99435e-10
   v 200 : 1.41407e-16
   v 201 : 5.11144e-10
   v 202 : 1.86753e-10
   v 203 : 5.99435e-10
   v 204 : 1.41407e-16
   v 205 : 5.11144e-10
   v 206 : 1.86753e-10
   v 207 : 5.99435e-10
   v 208 : 1.41407e-16
   v 209 : 5.11144e-10
   v 210 : 1.86753e-10
   v 211 : 5.99435e-10
   v 212 : 1.41407e-16
   v 213 : 5.11144e-10
   v 214 : 1.86753e-10
   v 215 : 5.99435e-10
   v 216 : 1.41407e-16
   v 217 : 5.11144e-10
   v 218 : 1.86753e-10
   v 219 : 5.99435e-10
   v 220 : 1.41407e-16
   v 221 : 5.11144e-10
   v 222 : 1.86753e-10
   v 223 : 5.99435e-10
   v 224 : 1.41407e-16
   v 225 : 5.11144e-10
   v 226 : 1.86753e-10
   v 227 : 5.99435e-10
   v 228 : 1.41407e-16
   v 229 : 5.11144e-10
   v 230 : 1.86753e-10
   v 231 : 5.99435e-10
   v 232 : 1.41407e-16
   v 233 : 5.11144e-10
   v 234 : 1.86753e-10
   v 235 : 5.99435e-10
   v 236 : 1.41407e-16
   v 237 : 5.11144e-10
   v 238 : 1.86753e-10
   v 239 : 5.99435e-10
   v 240 : 1.41407e-16
   v 241 : 5.11144e-10
   v 242 : 1.86753e-10
   v 243 : 5.99435e-10
   v 244 : 1.41407e-16
   v 245 : 5.11144e-10
   v 246 : 1.86753e-10
   v 247 : 5.99435e-10
   v 248 : 1.41407e-16
   v 249 : 5.11144e-10
   v 250 : 1.86753e-10
   v 251 : 5.99435e-10
   v 252 : 1.41407e-16
   v 253 : 5.11144e-10
   v 254 : 1.86753e-10
   v 255 : 5.99435e-10
   v 256 : 1.41407e-16
   v 257 : 5.11144e-10
   v 258 : 1.86753e-10
   v 259 : 5.99435e-10
   v 260 : 1.41407e-16
   v 261 : 5.11144e-10
   v 262 : 1.86753e-10
   v 263 : 5.99435e-10
   v 264 : 1.41407e-16
   v 265 : 5.11144e-10
   v 266 : 1.86753e-10
   v 267 : 5.99435e-10
   v 268 : 1.41407e-16
   v 269 : 5.11144e-10
   v 270 : 1.86753e-10
   v 271 : 5.99435e-10
   v 272 : 1.41407e-16
   v 273 : 5.11144e-10
   v 274 : 1.86753e-10
   v 275 : 5.99435e-10
   v 276 : 1.41407e-16
   v 277 : 5.11144e-10
   v 278 : 1.86753e-10
   v 279 : 5.99435e-10
